"ID";"Категория";"Триггеры";"Ответ";"Подтверждение"
"r001";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Без слов, одни эмоции 😂";"автоматически для простых реакций"
"r002";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Тут смайлики всё сказали 😄";"автоматически для простых реакций"
"r003";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Реакция понятна без перевода 😂";"автоматически для простых реакций"
"r004";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Этот смех заразительный 😄";"автоматически для простых реакций"
"r005";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Поймали настроение 😂";"автоматически для простых реакций"
"r006";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Вот это заряд смеха 😹";"автоматически для простых реакций"
"r007";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Да, тут сложно сдержаться 😂";"автоматически для простых реакций"
"r008";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Такая реакция — отдельное удовольствие 😄";"автоматически для простых реакций"
"r009";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Смайлики точно в тему 😂";"автоматически для простых реакций"
"r010";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Кажется, настроение совпало 😄";"автоматически для простых реакций"
"r011";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Смеёмся вместе 😂";"автоматически для простых реакций"
"r012";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Вот и повод улыбнуться 😄";"автоматически для простых реакций"
"r013";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Хорошо, когда юмор на одной волне 😂";"автоматически для простых реакций"
"r014";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Похоже, попали в точку 😄";"автоматически для простых реакций"
"r015";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Смех принят, улыбка в ответ 😄";"автоматически для простых реакций"
"r016";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Улыбнулись от вашей реакции 😂";"автоматически для простых реакций"
"r017";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Красноречивее любого отзыва 😹";"автоматически для простых реакций"
"r018";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Тут смайлики говорят сами за себя 😂";"автоматически для простых реакций"
"r019";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Ваш комментарий добавил веселья 😄";"автоматически для простых реакций"
"r020";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Эта реакция сделала момент ещё смешнее 😂";"автоматически для простых реакций"
"r021";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Понимаем этот смех 😄";"автоматически для простых реакций"
"r022";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Делимся хорошим настроением 😂";"автоматически для простых реакций"
"r023";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Пусть поводов посмеяться будет больше 😄";"автоматически для простых реакций"
"r024";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"С таким комментарием ещё веселее 😂";"автоматически для простых реакций"
"r025";"Смех";"😂, 🤣, 😹, 😆, ахаха, ахах, хаха, хахаха, ржу, смешно, угар, ору, лол, lol, haha, хех, хехе";"Улыбка за улыбку 😄";"автоматически для простых реакций"
"r026";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Улыбка в ответ 😊";"автоматически для простых реакций"
"r027";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Хорошего вам дня 😊";"автоматически для простых реакций"
"r028";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Спасибо за тёплую реакцию!";"автоматически для простых реакций"
